,order_id,final_status,reassigned,manual_assingment,orphan,cancelled_reassignment,Any_problem
131,81928648,DeliveredStatus,False,False,False,False,False
132,81982649,DeliveredStatus,False,False,False,False,False
133,82047050,DeliveredStatus,False,False,False,False,False
134,81909455,DeliveredStatus,False,False,False,False,False
135,82111856,DeliveredStatus,False,False,False,False,False
136,81848963,CanceledStatus,,,,,
137,81852056,CanceledStatus,,,,,
138,82074658,DeliveredStatus,False,False,False,False,False
139,82082696,DeliveredStatus,False,False,False,False,False
140,82103687,DeliveredStatus,False,False,False,False,False
141,81939164,DeliveredStatus,False,False,False,False,False
142,82073363,DeliveredStatus,False,False,False,False,False
143,82024435,DeliveredStatus,False,False,False,False,False
144,81908921,DeliveredStatus,False,False,False,False,False
145,82117511,DeliveredStatus,False,False,False,False,False
146,82095979,CanceledStatus,,,,,
147,81960405,CanceledStatus,,,,,
148,81951466,CanceledStatus,,,,,
149,81967806,CanceledStatus,,,,,
150,81959414,CanceledStatus,,,,,
151,81962480,DeliveredStatus,False,False,False,False,False
152,82123704,DeliveredStatus,False,False,False,False,False
153,82053827,DeliveredStatus,True,False,False,False,True
154,82103413,DeliveredStatus,False,False,False,False,False
155,82055472,DeliveredStatus,False,False,False,False,False
156,81901831,DeliveredStatus,False,False,False,False,False
157,81970573,DeliveredStatus,False,False,False,False,False
158,81952832,CanceledStatus,,,,,
159,81955160,DeliveredStatus,False,False,False,False,False
160,82111205,DeliveredStatus,False,False,False,False,False
161,82112478,CanceledStatus,,,,,
162,82138753,DeliveredStatus,False,False,False,False,False
163,81943997,DeliveredStatus,False,False,False,False,False
164,81966626,DeliveredStatus,False,False,False,False,False
165,82021303,DeliveredStatus,False,False,False,False,False
166,82116544,DeliveredStatus,False,False,False,False,False
167,82126207,DeliveredStatus,False,False,False,False,False
168,81948437,DeliveredStatus,False,False,False,False,False
169,82056628,DeliveredStatus,False,False,False,False,False
170,82097991,DeliveredStatus,False,False,False,False,False
171,81949122,DeliveredStatus,False,False,False,False,False
172,82133097,CanceledStatus,,,,,
173,81977413,DeliveredStatus,False,False,False,False,False
174,82059714,DeliveredStatus,False,False,False,False,False
175,82106197,CanceledStatus,,,,,
176,82117987,DeliveredStatus,False,False,False,False,False
177,82051079,DeliveredStatus,False,False,False,False,False
178,81949446,DeliveredStatus,False,False,False,False,False
179,82085893,DeliveredStatus,False,False,False,False,False
180,82126901,DeliveredStatus,False,True,False,False,True
181,81907294,DeliveredStatus,False,False,False,False,False
182,82100453,DeliveredStatus,True,False,False,False,True
183,81951572,DeliveredStatus,False,False,True,False,True
184,82111331,DeliveredStatus,False,False,False,False,False
185,82078405,DeliveredStatus,False,False,False,False,False
186,82093626,DeliveredStatus,False,False,False,False,False
187,82098645,DeliveredStatus,False,False,False,False,False
188,81969012,DeliveredStatus,False,False,False,False,False
189,81926966,DeliveredStatus,False,False,False,False,False
